Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Cost Price,Sale Price,Payment Method,Discount Amount,Purchase Date,Ship Date,Finance Amount,RAM,Credit Score,Channel,Priority,Cost of Repairs,Total Sales per Employee,PC Market Price,Storage Capacity
North America,Texas,McKinney,DEF Machines,7,Asus,ROG Strix Scar III,HDD,Michael,Obrien,+18759422956,carterpatricia@example.net,Ashley Wright,New Sales,18384,23384,Cash,937,2022-07-17,,0,16GB,685,Offline,Low,0,570,21010,1TB
Africa,Kenya,Mombasa,XYZ Tech,7,HP,Stream,HDD,Kevin,Romero,+14303324476,tfreeman@example.com,Tonya Nolan,Repairs,18950,23116,Finance,50,2024-01-13,2024-02-12,5166,16GB,786,Online,High,3465,380,22010,1TB
North America,California,Oxnard,XYZ Tech,7,Apple,Apple Lisa,HDD,Sarah,Mcconnell,+14744191030,richardsshelley@example.com,Alyssa Martinez,Repairs,15215,19439,Cash,286,2021-11-22,,0,2GB,401,Offline,Medium,1981,146,17913,256GB
North America,Pennsylvania,Wilkes-Barre,Benjis Tech,2,Lenovo,IdeaPad Flex 5,SSD,Sarah,King,+16287357206,nealrebecca@example.com,Lisa Graham,Returns,14132,16444,Cash,132,2023-10-07,,0,4GB,656,Offline,High,0,856,15699,1TB
North America,Michigan,Saginaw,Benjis Tech,3,Apple,Apple Mac Mini,HDD,Gregory,Brown,+19004003165,roberthebert@example.net,Allen Juarez,Second-hand Sales,12365,15254,Bank Transfer,984,2023-10-24,2023-11-04,0,16GB,488,Online,Medium,0,549,13599,256GB
North America,Ohio,Beavercreek,Western International PCs,2,Dell,Precision,HDD,Karen,Nguyen,+12689683311,simmonsdillon@example.com,Max Mccann,New Sales,12187,14372,Finance,549,2021-05-21,,43712,8GB,573,Offline,Low,0,781,13327,500GB
Africa,Botswana,Kweneng,CK Tech Store,2,Asus,ZenBook UX425,HDD,Alexis,Gray,+19682538760,sawyermark@example.com,Madison Davis,Repairs,19899,23008,Cash,502,2022-10-10,2022-10-18,0,4GB,676,Online,Medium,3902,762,22285,256GB
Africa,Ethiopia,Harari,Greens Laptops and PCs,2,Acer,Spin 5,HDD,Garrett,Jones,+13737947580,ricky11@example.com,Joseph Good,Repairs,26911,30154,Cash,439,2022-01-25,2022-02-02,0,2GB,550,Online,Medium,3962,1000,30047,256GB
North America,California,Irvine,GH PC Shop,1,Microsoft,Surface Neo,HDD,Christina,Little,+18674932795,fjohnson@example.com,Amber Montgomery,Second-hand Sales,2688,5948,Bank Transfer,894,2023-02-08,,0,2GB,473,Offline,High,0,321,3130,1TB
Africa,South Africa,Northern Cape,S & A Computer Place,7,Asus,TUF Gaming A15,SSD,Daniel,Lee,+15969963259,lauriecastillo@example.com,Daniel Lane,Repairs,19245,23505,Finance,555,2023-09-29,,3330,2GB,434,Offline,Low,1783,850,20130,256GB
Africa,Ghana,Upper East,XYZ Tech,4,Lenovo,ThinkPad X13 Yoga,SSD,Desiree,Garza,+13544605679,carlos96@example.com,Kevin Lee,Returns,6466,9048,Cash,803,2023-07-06,2023-07-14,0,16GB,685,Online,Low,0,955,8823,500GB
Africa,Morocco,Kenitra,Jacks Hardware,6,Dell,Precision,HDD,Joshua,Adams,+14236681647,fdaniels@example.org,Amy Owens,New Sales,24519,26768,Finance,201,2023-04-29,2023-05-21,29024,16GB,782,Online,Medium,0,983,26325,1TB
Africa,Tanzania,Mtwara,GH PC Shop,10,Microsoft,Surface Pro,HDD,Shane,Brown,+17520702331,melissa64@example.com,Mary Fisher,Repairs,23367,27513,Cash,232,2021-08-12,,0,4GB,423,Offline,Medium,4570,378,24109,1TB
North America,Pennsylvania,Johnstown,A & A PCs,9,Asus,ROG Zephyrus S GX701,SSD,Logan,Perez,+19236033333,gregory66@example.org,Julia Dodson,Second-hand Sales,21946,25723,Bank Transfer,203,2022-08-19,,0,8GB,533,Offline,Medium,0,661,23419,500GB
Africa,Nigeria,Borno,ABC Computers,5,Asus,ProArt StudioBook Pro X,HDD,Kim,Love,+11910929550,salinasshawn@example.net,Timothy Leach,Second-hand Sales,26724,31139,Cash,150,2021-09-29,,0,16GB,446,Offline,Low,0,822,28481,256GB
Africa,Tanzania,Mwanza,Ricks Computers,8,Toshiba,Qosmio,HDD,Ryan,Curtis,+10161378479,gregory28@example.net,David Osborn,Returns,5318,7653,Cash,6,2023-12-14,,0,4GB,715,Offline,High,0,876,7199,256GB
North America,Ohio,Westerville,A & A PCs,10,Acer,Predator Triton 500,SSD,Sharon,Pena,+14977274314,cookjoshua@example.net,Jason Gentry,Repairs,18832,21802,Finance,201,2023-05-06,,28027,4GB,405,Offline,Low,3346,132,19928,256GB
Africa,South Africa,Gauteng,KyaSand Tech Gadgets,8,Lenovo,ThinkPad T14,HDD,Nathaniel,Marshall,+15425021275,ostewart@example.com,Mrs. Barbara Davenport,Second-hand Sales,6885,8948,Bank Transfer,383,2023-08-08,2023-09-05,0,2GB,529,Online,High,0,472,7482,500GB
Africa,Nigeria,Sokoto,DEF Machines,9,Asus,VivoBook S14,SSD,Christopher,Hill,+16270473808,joshuahernandez@example.org,Lisa Morgan,Returns,10024,13841,Bank Transfer,632,2021-08-04,,0,16GB,782,Offline,Medium,0,491,12728,500GB
Africa,Kenya,Nyeri,S & A Computer Place,5,Toshiba,Qosmio,HDD,Elizabeth,Melton,+17294372339,grossmelissa@example.org,David Ellis,Returns,22022,24788,Cash,909,2022-02-10,,0,16GB,623,Offline,Low,0,97,24685,500GB
Africa,South Africa,Northern Cape,Jacks Hardware,3,MSI,GE76 Raider,SSD,Allison,Smith,+12971642241,fcole@example.com,Mary Nelson,New Sales,18788,21357,Cash,338,2023-05-04,,0,2GB,642,Offline,Low,0,982,20287,256GB
North America,North Carolina,Morganton,GH PC Shop,9,MSI,GE76 Raider,SSD,Tara,Marks,+14931322286,sanchezchristian@example.com,Morgan Moore,New Sales,14307,17436,Bank Transfer,941,2023-04-20,2023-05-20,0,16GB,609,Online,Medium,0,319,15616,500GB
Africa,Angola,Huila,GHI Machines,9,HP,Probook,HDD,David,Moon,+14786783296,snyderjacqueline@example.com,Cassidy Mason,Second-hand Sales,29677,32562,Finance,725,2022-12-05,2022-12-27,44142,16GB,532,Online,High,0,198,29708,500GB
Africa,Ethiopia,Afar,Jacks Hardware,1,Lenovo,ThinkPad T14,HDD,Pamela,Martin,+13965362013,mcgeecatherine@example.com,Alexa Hopkins,Returns,20561,24439,Finance,73,2023-12-01,,2896,16GB,616,Offline,Medium,0,521,23280,1TB
Africa,Morocco,Azilal,S & A Computer Place,4,MSI,Alpha 15,HDD,Kyle,Harmon,+12536449959,josephvasquez@example.net,Emma Scott,Returns,28098,31040,Bank Transfer,901,2023-12-19,2024-01-07,0,4GB,580,Online,Medium,0,671,29696,500GB
North America,North Carolina,Havelock,LJ Computers,6,Apple,Apple Mac Pro,SSD,Christopher,Campos,+18671814348,ysanchez@example.net,Tony Valenzuela,Returns,6881,11746,Cash,62,2021-09-12,2021-09-15,0,2GB,418,Online,Medium,0,682,8064,1TB
North America,Texas,Abilene,A & A PCs,2,Lenovo,Legion 5,SSD,John,Reyes,,jessica62@example.com,Diana Rodriguez,New Sales,18701,22222,Finance,318,2023-02-13,2023-02-23,5823,2GB,761,Online,Low,0,523,22000,1TB
Africa,Botswana,Central,Western International PCs,2,Samsung,Notebook 5,HDD,Vanessa,Boyd,+13638142384,nicolegonzalez@example.com,Melissa Dunn,Second-hand Sales,11714,13926,Finance,515,2022-08-01,,47675,4GB,706,Offline,High,0,671,12532,256GB
Africa,Tanzania,Manyara,DEF Machines,2,Dell,Precision,SSD,Shannon,Freeman,+15244715326,lyoung@example.org,Jennifer Morales,Repairs,9261,14136,Bank Transfer,410,2023-05-26,2023-06-18,0,16GB,760,Online,Low,4931,557,10948,1TB
Africa,Kenya,Siaya,Jacks Hardware,9,HP,Elitebook,HDD,Cathy,Price,+17405322618,lbryan@example.net,Tonya Nolan,New Sales,17758,22498,Cash,112,2024-01-02,2024-01-30,0,16GB,728,Online,Low,0,816,20454,256GB
Africa,Nigeria,Zamfara,GH PC Shop,4,HP,Spectre,HDD,Robert,Wood,+14374793301,anthony69@example.com,Diana Waters,Second-hand Sales,26343,28768,Bank Transfer,333,2021-04-15,,0,16GB,440,Offline,Low,0,807,27529,500GB
Africa,Kenya,Bungoma,DEF Machines,4,Microsoft,Surface Hub,SSD,Richard,Frye,+13827268974,portermonica@example.com,Amy Johnson,Repairs,28302,30373,Bank Transfer,520,2022-05-01,2022-05-07,0,2GB,595,Online,High,2589,981,30011,500GB
Africa,Angola,Benguela,DEF Machines,8,Microsoft,Surface Neo,HDD,Scott,Lawson,+17102733054,samantha25@example.net,Cassidy Mason,New Sales,21491,25949,Bank Transfer,593,2023-12-11,,0,4GB,496,Offline,High,0,743,22822,500GB
Africa,South Africa,Northern Cape,ABC Computers,3,Toshiba,Qosmio,SSD,Roberto,Murray,+12216962432,joseph07@example.net,Pamela Zavala,Repairs,26025,29391,Finance,830,2023-10-26,,16614,2GB,473,Offline,Medium,3516,722,28243,1TB
Africa,Nigeria,Borno,XYZ Tech,2,Acer,Predator Triton 500,HDD,Marc,Walker,+10391975976,bobby21@example.org,Diana Waters,Returns,5202,9678,Finance,174,2023-05-15,,41579,4GB,537,Offline,High,0,817,6184,1TB
Africa,Tanzania,Mara,CK Tech Store,3,Microsoft,Surface Pro,SSD,Cindy,Davis,+14326458783,whitney58@example.net,Mary Fisher,New Sales,17782,21769,Bank Transfer,897,2022-05-26,,0,16GB,678,Offline,Low,0,697,18410,500GB
North America,California,San Diego,LJ Computers,7,Asus,TUF Gaming A15,HDD,Jeff,Hamilton,+18562813635,jessica96@example.net,Joy Holt,Repairs,20574,22717,Cash,951,2022-08-06,,0,4GB,545,Offline,Medium,1095,789,20581,1TB
North America,Georgia,Douglasville,Greens Laptops and PCs,6,Acer,Aspire 7,SSD,Sharon,Massey,+11348738647,kimberly30@example.org,Michael Collins,New Sales,4317,8816,Cash,101,2022-01-20,2022-02-13,0,16GB,782,Online,Medium,0,703,4400,256GB
Africa,Nigeria,Yobe,XYZ Tech,5,MSI,GS66 Stealth,SSD,Benjamin,Mayer,+12883270457,johnlin@example.org,Lisa Morgan,Returns,12863,15128,Cash,727,2021-03-15,,0,8GB,789,Offline,Medium,0,424,13600,1TB
Africa,Morocco,Fahs Anjra,Western International PCs,4,Samsung,Notebook 9 Pro,SSD,Patrick,Owens,+19718561441,parkserin@example.com,Amy Owens,Returns,8835,11009,Finance,506,2022-03-30,,12253,16GB,798,Offline,Low,0,87,9258,1TB
North America,Michigan,East Lansing,CK Tech Store,3,HP,Envy,HDD,Ronnie,Fisher,+14309542512,xsharp@example.org,Erika Larsen,Second-hand Sales,13588,16477,Bank Transfer,668,2023-04-26,2023-05-26,0,8GB,567,Online,High,0,157,13931,256GB
Africa,Nigeria,Niger,Mini Tech,6,Samsung,Galaxy Chromebook 2,HDD,Christina,Jackson,+14650139160,kenneth60@example.net,Lisa Morgan,Returns,17133,19196,Bank Transfer,202,2021-06-20,,0,16GB,504,Offline,High,0,856,18358,256GB
North America,California,Stockton,Western International PCs,4,Acer,Spin 5,HDD,Shaun,Sutton,+19703047252,greenemelinda@example.com,Rachel Mitchell,Second-hand Sales,24024,27975,Bank Transfer,790,2023-05-22,,0,16GB,544,Offline,High,0,938,27712,1TB
North America,Illinois,Berwyn,Jacks Hardware,8,Lenovo,IdeaCentre AIO 3,SSD,Christina,Warren,+12609867951,cathy71@example.net,Jason Phillips,New Sales,24764,28518,Bank Transfer,309,2023-12-25,,0,2GB,618,Offline,Medium,0,593,24785,256GB
North America,California,Chula Vista,ABC Computers,8,MSI,GS66 Stealth,HDD,Kerry,Williams,+11428372973,qjohnson@example.org,Alyssa Martinez,Repairs,7557,11725,Cash,14,2023-10-27,2023-11-26,0,8GB,429,Online,High,3299,977,8998,1TB
North America,Michigan,Royal Oak,A & A PCs,4,Apple,Apple iMac,HDD,Brenda,Hodge,+16669662420,christopherbennett@example.net,Allen Juarez,Returns,25977,29202,Finance,634,2022-11-17,,21373,8GB,589,Offline,Medium,0,363,27854,1TB
